Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP,Brand_Encoded
80.0,1.0,8,2200.0,5.0,31
150.0,3.0,32,3100.0,16.0,31
120.0,2.0,16,3200.0,13.0,31
300.0,4.0,64,5000.0,16.0,31
200.0,4.0,64,4000.0,13.0,31
260.0,6.0,64,3450.0,24.0,31
80.0,2.0,32,3200.0,16.0,31
150.0,2.0,16,3200.0,13.0,31
400.0,6.0,64,3800.0,24.0,31
650.0,6.0,128,4000.0,12.0,31
400.0,6.0,64,3450.0,24.0,31
450.0,6.0,64,3800.0,16.0,31
420.0,6.0,64,3800.0,16.0,31
470.0,6.0,128,4000.0,48.0,31
900.0,6.0,128,4000.0,48.0,31
250.0,1.0,8,1800.0,5.0,32
150.0,4.0,3,1500.0,5.0,32
380.0,4.0,1,1400.0,15.0,32
250.0,1.0,4,1800.0,8.0,32
280.0,1.0,4,1800.0,8.0,32
220.0,1.0,4,2500.0,8.0,32
620.0,1.0,4,2500.0,12.0,32
350.0,1.0,4,2500.0,8.0,32
150.0,4.0,4,1800.0,5.0,32
140.0,1.0,4,1400.0,5.0,32
100.0,4.0,4,1400.0,15.0,32
230.0,1.0,4,1800.0,8.0,32
270.0,1.0,16,1800.0,8.0,32
110.0,1.0,8,3300.0,2.0,32
170.0,4.0,4,2500.0,5.0,32
220.0,4.0,4,1500.0,5.0,32
370.0,2.0,8,2000.0,1.0,32
130.0,4.0,4,1700.0,5.0,32
160.0,1.0,4,2000.0,8.0,32
370.0,2.0,8,3400.0,13.0,32
360.0,1.0,16,2000.0,13.0,32
70.0,4.0,4,1300.0,2.0,32
80.0,4.0,4,1300.0,5.0,32
100.0,4.0,4,1800.0,5.0,32
130.0,1.0,4,1900.0,5.0,32
70.0,4.0,4,1400.0,5.0,32
110.0,1.0,4,1800.0,5.0,32
400.0,4.0,4,1100.0,5.0,1
300.0,1.0,16,1520.0,8.0,1
170.0,1.0,16,4400.0,5.0,1
150.0,1.0,8,4325.0,2.0,1
450.0,2.0,16,2140.0,13.0,1
230.0,1.0,16,4325.0,2.0,1
110.0,1.0,8,4270.0,1.0,1
1000.0,2.0,32,2400.0,13.0,1
260.0,1.0,8,4270.0,15.0,1
350.0,2.0,16,3200.0,8.0,1
230.0,2.0,16,3950.0,5.0,1
220.0,1.0,8,3950.0,5.0,1
150.0,1.0,16,3950.0,5.0,1
250.0,1.0,8,5070.0,2.0,1
730.0,2.0,16,2400.0,13.0,1
170.0,6.0,64,5180.0,16.0,6
150.0,4.0,128,4500.0,16.0,6
280.0,8.0,128,6350.0,48.0,6
120.0,4.0,32,4350.0,13.0,6
280.0,8.0,128,10000.0,48.0,6
210.0,6.0,128,8500.0,16.0,6
210.0,4.0,128,10050.0,16.0,6
6700.0,2.0,32,3050.0,13.0,27
150.0,2.0,32,3500.0,13.0,27
7600.0,3.0,32,3050.0,13.0,27
15000.0,6.0,128,3500.0,16.0,27
10000.0,6.0,64,3500.0,16.0,27
130.0,4.0,64,5000.0,48.0,27
220.0,6.0,128,4000.0,48.0,27
150.0,2.0,32,5000.0,13.0,27
120.0,3.0,64,5000.0,16.0,27
120.0,4.0,64,6000.0,16.0,27
80.0,2.0,32,5000.0,5.0,27
230.0,8.0,128,4500.0,64.0,27
110.0,4.0,64,5000.0,16.0,27
90.0,2.0,32,6000.0,13.0,27
130.0,4.0,64,5000.0,64.0,27
110.0,4.0,64,6000.0,13.0,27
80.0,2.0,32,5000.0,13.0,27
70.0,2.0,32,5000.0,13.0,27
130.0,4.0,128,5000.0,48.0,27
90.0,3.0,32,4500.0,12.0,11
100.0,1.0,16,4000.0,13.0,11
130.0,2.0,32,4000.0,13.0,11
7000.0,2.0,32,3500.0,13.0,11
180.0,4.0,64,4000.0,16.0,11
7000.0,2.0,32,5000.0,13.0,11
120.0,4.0,64,4000.0,16.0,11
100.0,3.0,32,4000.0,16.0,11
120.0,4.0,64,4000.0,48.0,11
90.0,2.0,32,5000.0,13.0,11
50.0,4.0,64,5000.0,48.0,11
130.0,4.0,64,5000.0,48.0,11
100.0,2.0,32,6000.0,13.0,11
70.0,2.0,32,5000.0,13.0,11
210.0,8.0,128,4500.0,64.0,11
90.0,1.0,4,3000.0,5.0,15
150.0,1.0,4,2000.0,8.0,15
170.0,1.0,4,2450.0,8.0,15
100.0,4.0,4,1800.0,5.0,15
170.0,1.0,4,1800.0,8.0,15
240.0,2.0,32,2350.0,16.0,15
190.0,1.0,4,1900.0,8.0,15
100.0,1.0,8,2500.0,5.0,15
110.0,1.0,4,2000.0,8.0,15
120.0,1.0,4,2000.0,8.0,15
90.0,4.0,4,1900.0,5.0,15
