Brand,Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP
ZTE,80.0,1.0,8,2300.0,5.0
ZTE,190.0,3.0,32,5000.0,13.0
ZTE,150.0,3.0,32,4000.0,13.0
ZTE,80.0,1.0,8,2200.0,5.0
ZTE,150.0,3.0,32,3100.0,16.0
ZTE,120.0,2.0,16,3200.0,13.0
ZTE,300.0,4.0,64,5000.0,16.0
ZTE,200.0,4.0,64,4000.0,13.0
ZTE,260.0,6.0,64,3450.0,24.0
ZTE,80.0,2.0,32,3200.0,16.0
ZTE,150.0,2.0,16,3200.0,13.0
ZTE,400.0,6.0,64,3800.0,24.0
ZTE,650.0,6.0,128,4000.0,12.0
ZTE,400.0,6.0,64,3450.0,24.0
ZTE,450.0,6.0,64,3800.0,16.0
ZTE,420.0,6.0,64,3800.0,16.0
ZTE,470.0,6.0,128,4000.0,48.0
ZTE,900.0,6.0,128,4000.0,48.0
alcatel,250.0,1.0,8,1800.0,5.0
alcatel,150.0,,3,1500.0,5.0
alcatel,380.0,,1,1400.0,15.0
alcatel,250.0,1.0,4,1800.0,8.0
alcatel,280.0,1.0,4,1800.0,8.0
alcatel,220.0,1.0,4,2500.0,8.0
alcatel,620.0,1.0,4,2500.0,12.0
alcatel,350.0,1.0,4,2500.0,8.0
alcatel,150.0,,4,1800.0,5.0
alcatel,140.0,1.0,4,1400.0,5.0
alcatel,100.0,,4,1400.0,15.0
alcatel,230.0,1.0,4,1800.0,8.0
alcatel,270.0,1.0,16,1800.0,8.0
alcatel,110.0,1.0,8,3300.0,2.0
alcatel,170.0,,4,2500.0,5.0
alcatel,220.0,,4,1500.0,5.0
alcatel,370.0,2.0,8,2000.0,1.0
alcatel,130.0,,4,1700.0,5.0
alcatel,160.0,1.0,4,2000.0,8.0
alcatel,370.0,2.0,8,3400.0,13.0
alcatel,360.0,1.0,16,2000.0,13.0
alcatel,70.0,,4,1300.0,2.0
alcatel,80.0,,4,1300.0,5.0
alcatel,100.0,,4,1800.0,5.0
alcatel,130.0,1.0,4,1900.0,5.0
alcatel,70.0,,4,1400.0,5.0
alcatel,110.0,1.0,4,1800.0,5.0
Asus,400.0,,4,1100.0,5.0
Asus,300.0,1.0,16,1520.0,8.0
Asus,170.0,1.0,16,4400.0,5.0
Asus,150.0,1.0,8,4325.0,2.0
Asus,450.0,2.0,16,2140.0,13.0
Asus,230.0,1.0,16,4325.0,2.0
