Brand,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP,Price_Clean,Storage_Category
Asus,2.0,32.0,3200.0,8.0,350.0,1
Asus,1.0,16.0,4270.0,15.0,260.0,1
Asus,2.0,64.0,2400.0,13.0,1000.0,2
Asus,1.0,16.0,4270.0,1.0,110.0,1
Asus,1.0,32.0,4325.0,2.0,230.0,1
Asus,2.0,64.0,2140.0,13.0,450.0,2
Asus,1.0,32.0,4325.0,2.0,150.0,1
Asus,1.0,32.0,4400.0,5.0,170.0,1
Asus,1.0,64.0,1520.0,8.0,300.0,2
Asus,3.0,64.0,5000.0,13.0,330.0,2
BenQ,1.0,4.0,1840.0,8.0,80.0,1
BenQ,2.0,16.0,2520.0,13.0,100.0,1
BenQ,1.0,4.0,2100.0,13.0,200.0,1
BenQ,1.0,4.0,2000.0,8.0,150.0,1
BlackBerry,4.0,32.0,3000.0,13.0,250.0,1
BlackBerry,3.0,32.0,3505.0,12.0,600.0,1
BlackBerry,4.0,32.0,3000.0,21.0,530.0,1
BlackBerry,3.0,16.0,2610.0,13.0,270.0,1
BlackBerry,3.0,32.0,3410.0,18.0,450.0,1
BlackBerry,2.0,16.0,2800.0,8.0,170.0,1
BlackBerry,2.0,64.0,2100.0,8.0,590.0,2
BlackBerry,3.0,32.0,3450.0,13.0,310.0,1
BlackBerry,2.0,16.0,2515.0,8.0,290.0,1
BlackBerry,5.0,8.0,2500.0,5.0,110.0,1
BlackBerry,2.0,64.0,1800.0,8.0,390.0,2
BlackBerry,2.0,16.0,2880.0,8.0,180.0,1
BlackBerry,2.0,8.0,2180.0,5.0,150.0,1
BlackBerry,2.0,16.0,1800.0,8.0,230.0,1
BlackBerry,2.0,16.0,2100.0,8.0,170.0,1
BlackBerry,1.0,64.0,5300.0,5.0,120.0,2
BLU,4.0,64.0,3000.0,13.0,170.0,2
BLU,1.0,16.0,2000.0,8.0,80.0,1
BLU,3.0,32.0,3150.0,13.0,240.0,1
BLU,3.0,64.0,3500.0,24.0,310.0,2
BLU,1.0,8.0,3000.0,8.0,110.0,1
BLU,1.0,8.0,5000.0,8.0,140.0,1
BLU,1.0,8.0,2100.0,8.0,120.0,1
BLU,1.0,16.0,2100.0,8.0,190.0,1
BLU,2.0,16.0,3200.0,13.0,210.0,1
BLU,1.0,8.0,2200.0,13.0,150.0,1
BLU,1.0,8.0,3000.0,5.0,130.0,1
BLU,1.0,8.0,2200.0,8.0,150.0,1
BLU,1.0,4.0,2000.0,8.0,110.0,1
BLU,2.0,16.0,2300.0,13.0,260.0,1
BLU,1.0,8.0,2000.0,8.0,150.0,1
BLU,3.0,32.0,2500.0,16.0,290.0,1
BLU,1.0,4.0,3000.0,8.0,180.0,1
BLU,1.0,4.0,2000.0,8.0,120.0,1
BLU,1.0,4.0,2350.0,8.0,130.0,1
BLU,1.0,16.0,3000.0,8.0,190.0,1
BLU,1.0,16.0,2000.0,8.0,160.0,1
BLU,1.0,8.0,4500.0,5.0,360.0,1
BLU,1.0,4.0,1800.0,8.0,130.0,1
BLU,2.0,32.0,2000.0,13.0,210.0,1
BLU,1.0,4.0,2000.0,12.0,140.0,1
BLU,1.0,16.0,1800.0,8.0,200.0,1
BLU,2.0,32.0,2020.0,13.0,240.0,1
BLU,1.0,16.0,2500.0,12.0,210.0,1
BLU,1.0,4.0,2250.0,5.0,120.0,1
BLU,1.0,4.0,2800.0,8.0,130.0,1
BLU,1.0,4.0,2000.0,8.0,130.0,1
BLU,1.0,16.0,2600.0,12.0,230.0,1
BLU,1.0,16.0,2000.0,13.0,230.0,1
BLU,1.0,4.0,1800.0,8.0,180.0,1
BLU,1.0,4.0,2800.0,8.0,220.0,1
